Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LogPPi	TargEntropy	Alpha	LossPi	LossQ1	LossQ2	LossAlpha	Time
69	0.9404762	0.23660247	1.0	0.0	0.8	0.4	1.0	0.0	2.9880953	2.2	17250	0.79980373	0.22615097	1.7906183	-0.46010077	0.7998712	0.22609492	1.7271929	-0.48129725	5.9862432	-6.0	0.0018334009	-0.8220487	0.0028288553	0.0028056717	-0.08563507	20986.666345596313
70	0.9111111	0.2845833	1.0	0.0	1.0	0.0	1.0	1.0	2.788889	2.0	17500	0.80112475	0.23171176	1.4910396	-0.34586075	0.80105823	0.23131692	1.5543847	-0.43722102	5.9477797	-6.0	0.0017518139	-0.82596844	0.0025914067	0.002732378	-0.3306452	21315.99273967743
71	0.93333334	0.24944381	1.0	0.0	1.0	0.0	1.0	1.0	2.7444444	4.0	17750	0.8041576	0.2291006	1.7954093	-0.75972986	0.80406964	0.22946048	1.7890598	-0.46918672	5.9890137	-6.0	0.0017229295	-0.82919776	0.0024141704	0.0023210854	-0.06895631	21630.88048195839
72	0.9354839	0.24567008	1.0	0.0	1.0	0.0	1.0	1.0	2.7096775	2.6	18000	0.8076136	0.22797419	1.6233429	-0.6564594	0.80757946	0.22848895	1.52816	-0.30942035	6.0290246	-6.0	0.0016972139	-0.831705	0.0024898604	0.0024279477	0.18527138	21942.906207084656
73	0.8979592	0.30270198	1.0	0.0	1.0	0.0	1.0	1.0	2.5204082	1.6	18250	0.80670977	0.22933845	1.9036413	-0.5755011	0.8067916	0.22835799	1.8210132	-0.49145854	5.985378	-6.0	0.0017589979	-0.82889646	0.0026374843	0.0025865526	-0.09212958	22258.624362707138
74	0.90625	0.2914806	1.0	0.0	1.0	0.0	1.0	1.0	2.6354167	4.8	18500	0.80759317	0.22517139	1.9682796	-0.3957525	0.8073912	0.22585317	1.8878785	-0.4284531	6.0889063	-6.0	0.0017804446	-0.83024144	0.0027968464	0.0025379788	0.5632971	22581.66259789467
75	0.9259259	0.2618914	1.0	0.0	0.8	0.40000004	1.0	0.0	3.0987654	5.2	18750	0.80841494	0.22474314	1.8541421	-0.5744506	0.80855256	0.22565044	1.9284511	-0.42124543	5.94659	-6.0	0.0017945004	-0.8296741	0.00266212	0.0026112942	-0.3363833	22907.84543943405
76	0.89285713	0.3092948	1.0	0.0	1.0	0.0	1.0	1.0	2.952381	2.4	19000	0.81053835	0.22459055	1.4674081	-0.6300769	0.8104734	0.22481374	1.509357	-0.39351454	6.1196547	-6.0	0.0018406301	-0.83295256	0.0023848922	0.0022690208	0.75296706	23209.069388389587
77	0.9634146	0.18774152	1.0	0.0	1.0	0.0	1.0	1.0	3.0731707	2.2	19250	0.8108225	0.22553301	1.816844	-0.37169266	0.8110032	0.22484183	1.7997109	-0.53832185	5.936679	-6.0	0.0019171293	-0.83312476	0.0023768677	0.0025218038	-0.39570376	23506.04717516899
78	0.89534885	0.30610344	1.0	0.0	1.0	0.0	1.0	1.0	2.8953488	2.6	19500	0.81309277	0.22129904	1.652087	-0.35450566	0.8129994	0.22236541	1.6416736	-0.3962298	6.0049553	-6.0	0.0018612023	-0.8345253	0.0025746063	0.002504405	0.031910203	23807.679391622543
